iter	Passed	Remaining
0	164	164475
1	171	85511
2	188	62681
3	196	48859
4	202	40338
5	209	34764
6	215	30528
7	220	27380
8	226	24932
9	231	22965
10	238	21435
11	244	20130
12	250	19018
13	256	18054
14	263	17305
15	270	16627
16	276	15967
17	282	15400
18	288	14921
19	295	14485
20	302	14091
21	308	13732
22	314	13377
23	320	13039
24	327	12762
25	333	12485
26	339	12226
27	344	11972
28	350	11736
29	356	11530
30	362	11335
31	369	11183
32	375	11013
33	383	10900
34	389	10748
35	396	10619
36	402	10470
37	408	10340
38	414	10205
39	421	10107
40	427	9989
41	433	9877
42	439	9782
43	445	9685
44	451	9581
45	457	9487
46	462	9385
47	468	9298
48	474	9207
49	480	9124
50	485	9041
51	491	8961
52	497	8889
53	503	8816
54	508	8743
55	515	8687
56	521	8620
57	528	8579
58	534	8519
59	539	8451
60	545	8397
61	551	8341
62	557	8296
63	562	8230
64	566	8149
65	570	8078
66	575	8007
67	579	7943
68	583	7873
69	588	7812
70	592	7748
71	595	7681
72	599	7615
73	604	7564
74	608	7504
75	612	7448
76	616	7395
77	621	7341
78	625	7288
79	628	7233
80	633	7188
81	637	7136
82	641	7085
83	645	7039
84	649	6992
85	653	6947
86	657	6902
87	661	6858
88	665	6812
89	669	6770
90	673	6729
91	677	6685
92	681	6647
93	685	6606
94	689	6566
95	693	6526
96	697	6496
97	701	6460
98	705	6422
99	709	6385
100	713	6352
101	718	6321
102	722	6287
103	726	6257
104	730	6225
105	734	6196
106	738	6162
107	742	6131
108	746	6102
109	750	6072
110	754	6043
111	759	6025
112	763	5992
113	767	5963
114	771	5935
115	775	5907
116	779	5879
117	782	5851
118	787	5833
119	792	5811
120	796	5786
121	800	5760
122	805	5739
123	809	5718
124	813	5696
125	817	5673
126	821	5649
127	825	5624
128	829	5600
129	833	5577
130	837	5555
131	842	5537
132	846	5515
133	849	5493
134	853	5471
135	857	5450
136	861	5429
137	865	5409
138	870	5389
139	873	5368
140	878	5351
141	882	5330
142	886	5311
143	890	5292
144	894	5271
145	897	5252
146	902	5235
147	906	5221
